physical_step, pseudo_step, CL, CD, CFx, CFy, CFz, CMx, CMy, CMz, CLPressure, CDPressure, CFxPressure, CFyPressure, CFzPressure, CMxPressure, CMyPressure, CMzPressure, CLSkinFriction, CDSkinFriction, CFxSkinFriction, CFySkinFriction, CFzSkinFriction, CMxSkinFriction, CMySkinFriction, CMzSkinFriction, 
0, 0, 2.43810591170669e-07, -0.00508371417394363, 2.43810591172404e-07, 2.88811453016312e-07, 0.00508371417394363, -3.66454486493751e-08, 2.05150010344283e-08, -0.0231677233837018, 2.88659785606921e-07, -0.0117738159660774, 2.88659785605945e-07, 3.74763069383837e-07, 0.0117738159660774, -3.73110576408068e-09, -5.33640977830551e-09, -0.00362239108668295, -4.48491944315629e-08, 0.0066901017921337, -4.48491944311428e-08, -8.59516164356449e-08, -0.0066901017921337, -3.29143428913878e-08, 2.58514108222349e-08, -0.0195453322970187, 
0, 10, -2.27931128370118e-06, -0.203900868590196, -2.27931128371527e-06, 3.53733476614344e-07, 0.203900868590196, 1.74673894281081e-06, 6.56440935547633e-06, -0.0537571823689213, -1.18557474896314e-06, -0.205249806907794, -1.18557474897355e-06, 1.39936273712756e-06, 0.205249806907794, 1.35666425275099e-06, 6.24191119673592e-06, -0.0502001157385087, -1.09373653466104e-06, 0.00134893831759738, -1.09373653466093e-06, -1.04562926054731e-06, -0.00134893831759738, 3.90074689946781e-07, 3.22498158443714e-07, -0.00355706663041271, 
0, 20, -7.11384465696465e-07, -0.155613164841327, -7.11384465707143e-07, 4.23184400585954e-06, 0.155613164841327, -9.7134187956731e-06, 2.45453551567972e-06, -0.0314707484353411, -7.29463271279619e-07, -0.155773058351604, -7.29463271292031e-07, 4.18685109789002e-06, 0.155773058351604, -9.70060214427582e-06, 2.46474774492818e-06, -0.031054306011709, 1.8078805619389e-08, 0.000159893510277294, 1.80788056194026e-08, 4.49929078441716e-08, -0.000159893510277294, -1.28166514556433e-08, -1.02122292390039e-08, -0.000416442423632202, 
0, 26, -1.01635579476604e-06, -0.156086046155005, -1.01635579477921e-06, 4.23484545666593e-07, 0.156086046155005, 9.56762298150662e-07, 1.75168264867493e-07, -0.0314838637012775, -9.92137986925066e-07, -0.15619746251445, -9.92137986934067e-07, 4.30420329364543e-07, 0.15619746251445, 9.47882764894978e-07, 1.71180086780527e-07, -0.0311878997440834, -2.42178079023084e-08, 0.000111416359445825, -2.42178079023008e-08, -6.93578353578259e-09, -0.000111416359445825, 8.87953323563106e-09, 3.9881783102239e-09, -0.000295963957194127, 
1, 0, -1.02477834075066e-06, -0.156096540635086, -1.02477834075873e-06, 3.54000995285076e-07, 0.156096540635086, 9.52412346224691e-07, 2.14968436728965e-07, -0.031476490716438, -1.00287818383487e-06, -0.156204727026478, -1.00287818384382e-06, 3.65346157242328e-07, 0.156204727026478, 9.44133193490322e-07, 2.10154958829173e-07, -0.0311880146611779, -2.19001568995606e-08, 0.000108186391391772, -2.19001568995547e-08, -1.13451620677336e-08, -0.000108186391391772, 8.27915267302421e-09, 4.81347800100362e-09, -0.000288476055259974, 
1, 10, -9.44531267941203e-06, -0.137609197785996, -9.44531267942002e-06, -1.92401442881699e-06, 0.137609197785996, -1.08911890626049e-05, 4.41412302401171e-06, -0.0242658285299572, -9.42861742657337e-06, -0.137713965579851, -9.42861742658045e-06, -1.91600509583762e-06, 0.137713965579851, -1.090219498506e-05, 4.41053265601024e-06, -0.0239875341818738, -1.66952528127778e-08, 0.000104767793854595, -1.66952528127774e-08, -8.00933292271433e-09, -0.000104767793854595, 1.10059224541118e-08, 3.59036798840853e-09, -0.000278294348083371, 
1, 20, 6.33362952196833e-07, -0.107038184333826, 6.33362952191034e-07, -6.42113610666501e-07, 0.107038184333826, -3.59961137804319e-07, -5.00736761600609e-07, -0.0155272173741032, 6.5090083184161e-07, -0.107102446852224, 6.50900831834941e-07, -6.3391839441784e-07, 0.107102446852224, -3.67510863649372e-07, -5.03907300885664e-07, -0.0153316196570707, -1.7537879650535e-08, 6.42625183977013e-05, -1.7537879650535e-08, -8.19521629794596e-09, -6.42625183977013e-05, 7.54972574429112e-09, 3.1705394314639e-09, -0.000195597717032417, 
1, 27, -4.1038370615104e-07, -0.107373285931485, -4.10383706157709e-07, -1.17284033716378e-06, 0.107373285931485, -7.48081749317042e-07, -9.57747271216197e-07, -0.0155465450107125, -3.99002393507186e-07, -0.107421418738063, -3.99002393513414e-07, -1.16858701980041e-06, 0.107421418738063, -7.51647317471199e-07, -9.59783028598845e-07, -0.0153806053390923, -1.13813127119771e-08, 4.81328065780874e-05, -1.13813127119742e-08, -4.25331731817195e-09, -4.81328065780874e-05, 3.56556822938481e-09, 2.03575725893432e-09, -0.000165939671620219, 
2, 0, -3.49445232617093e-07, -0.107359309413354, -3.49445232623782e-07, -1.19258219426563e-06, 0.107359309413354, -7.01716039536307e-07, -9.97392956851386e-07, -0.0155409385692598, -3.3861767526121e-07, -0.107406491822696, -3.3861767526788e-07, -1.18837746854287e-06, 0.107406491822696, -7.0502479766003e-07, -9.99433193774598e-07, -0.0153767440182536, -1.08275573213289e-08, 4.71824093421524e-05, -1.08275573213255e-08, -4.20472574606392e-09, -4.71824093421523e-05, 3.30875815533412e-09, 2.04023693296802e-09, -0.000164194551006158, 
2, 10, -7.30598056902267e-06, -0.0949348004843836, -7.30598056902779e-06, 2.8633547163032e-06, 0.0949348004843836, -1.34250642052154e-05, 8.54944671551019e-06, -0.0118077736889096, -7.2963233725019e-06, -0.0949822489507266, -7.29632337250788e-06, 2.866698830533e-06, 0.0949822489507266, -1.34287035309201e-05, 8.5476783597354e-06, -0.011643535417629, -9.65719652840303e-09, 4.74484663430068e-05, -9.65719652839922e-09, -3.34411429408596e-09, -4.74484663430068e-05, 3.63932578094621e-09, 1.76835582844631e-09, -0.000164238271280565, 
