physical_step, pseudo_step, CL, CD, CFx, CFy, CFz, CMx, CMy, CMz, CLPressure, CDPressure, CFxPressure, CFyPressure, CFzPressure, CMxPressure, CMyPressure, CMzPressure, CLSkinFriction, CDSkinFriction, CFxSkinFriction, CFySkinFriction, CFzSkinFriction, CMxSkinFriction, CMySkinFriction, CMzSkinFriction, 
200, 0, -2.20810312251106e-07, -0.0492686609879719, -2.20810312254159e-07, 2.2999989697676e-06, 0.0492686609879719, -6.08999441601434e-07, 4.25640615453462e-06, -0.00874399158130357, -2.27450081559776e-07, -0.0492832871436791, -2.27450081562615e-07, 2.29361454823171e-06, 0.0492832871436791, -6.07445679575935e-07, 4.25234216281413e-06, -0.0086501314120696, 6.63976932555621e-09, 1.46261557072131e-05, 6.6397693255561e-09, 6.38442155110024e-09, -1.46261557072131e-05, -1.55376209101005e-09, 4.06399171675246e-09, -9.38601692339693e-05, 
200, 10, -1.53822695035712e-07, -0.0492778082995128, -1.53822695039415e-07, 2.24735863697765e-06, 0.0492778082995128, -6.70267338167916e-07, 4.25688599857839e-06, -0.00873844335895445, -1.60376776454371e-07, -0.04929244543473, -1.6037677645786e-07, 2.24095573378386e-06, 0.04929244543473, -6.68752899440316e-07, 4.25283310333429e-06, -0.00864455434209233, 6.55408141074731e-09, 1.46371352173418e-05, 6.55408141074478e-09, 6.40290320327647e-09, -1.46371352173418e-05, -1.51443863185173e-09, 4.05289529686786e-09, -9.38890168620864e-05, 
200, 19, -2.10725629769517e-07, -0.0493024097251402, -2.10725629772465e-07, 2.2976536895716e-06, 0.0493024097251402, -5.91785247416855e-07, 4.19797361215418e-06, -0.00874931215324071, -2.17250337764496e-07, -0.0493170410229347, -2.17250337767441e-07, 2.29134242183101e-06, 0.0493170410229347, -5.90264731655202e-07, 4.19396337023171e-06, -0.00865540257044339, 6.52470802575858e-09, 1.46312977945735e-05, 6.5247080257569e-09, 6.31126772926474e-09, -1.46312977945735e-05, -1.52051579867727e-09, 4.01024194439892e-09, -9.39095827973115e-05, 
201, 0, -3.31135174152108e-07, -0.0493034891764308, -3.31135174155484e-07, 2.28390292597392e-06, 0.0493034891764308, -8.11731188552899e-07, 4.16151941813562e-06, -0.00874952718313484, -3.37323132949228e-07, -0.0493181216084432, -3.37323132951952e-07, 2.27726796919068e-06, 0.0493181216084432, -8.10005150975701e-07, 4.15759655344305e-06, -0.00865561657542753, 6.18795883840913e-09, 1.46324320125799e-05, 6.18795883841075e-09, 6.63495678084429e-09, -1.46324320125799e-05, -1.72603767064182e-09, 3.92286463480226e-09, -9.39106077072952e-05, 
201, 10, -2.70799320408891e-07, -0.0493162912531841, -2.7079932041238e-07, 2.24192198672457e-06, 0.0493162912531841, -8.59720515722542e-07, 4.12191052036417e-06, -0.00874393907046423, -2.76932361210217e-07, -0.0493309355811174, -2.76932361213268e-07, 2.23529538360582e-06, 0.0493309355811174, -8.58042977109724e-07, 4.11800213219447e-06, -0.00864999757513878, 6.13304080105645e-09, 1.46443279332855e-05, 6.13304080105721e-09, 6.62660312708265e-09, -1.46443279332855e-05, -1.67753863685069e-09, 3.90838812851219e-09, -9.39414953254201e-05, 
201, 19, -3.31987529424582e-07, -0.0493407785546553, -3.31987529428178e-07, 2.29197319007937e-06, 0.0493407785546553, -7.78297154399375e-07, 4.0686045980062e-06, -0.00875479035554588, -3.38163901698216e-07, -0.0493554178011178, -3.38163901701592e-07, 2.28548295623638e-06, 0.0493554178011178, -7.76623366014593e-07, 4.06474820505932e-06, -0.00866082595005399, 6.17637234794661e-09, 1.46392464626129e-05, 6.17637234794243e-09, 6.49023383256009e-09, -1.46392464626129e-05, -1.67378814309228e-09, 3.85639289087936e-09, -9.3964405491857e-05, 
202, 0, -4.52611314530716e-07, -0.0493420192310944, -4.52611314534262e-07, 2.27252324193916e-06, 0.0493420192310944, -9.91234894273947e-07, 4.02217947249118e-06, -0.00875500001909196, -4.58449239215145e-07, -0.0493566596672192, -4.58449239217601e-07, 2.26573105936393e-06, 0.0493566596672192, -9.89363322657365e-07, 4.0184175470209e-06, -0.00866103439300094, 5.83792466340891e-09, 1.4640436124994e-05, 5.83792466341071e-09, 6.79218258123402e-09, -1.4640436124994e-05, -1.87157177864382e-09, 3.7619254638112e-09, -9.39656260910135e-05, 
202, 10, -3.96783181352401e-07, -0.0493581664742309, -3.96783181355779e-07, 2.23795921039577e-06, 0.049358166474231, -1.01762742488911e-06, 3.95934943218745e-06, -0.00874869718079915, -4.02632193437659e-07, -0.0493728185478698, -4.02632193440332e-07, 2.23118804606539e-06, 0.0493728185478698, -1.01580764060562e-06, 3.9556031145742e-06, -0.00865469989784329, 5.8490120439644e-09, 1.4652073638734e-05, 5.84901204396657e-09, 6.7711642994286e-09, -1.4652073638734e-05, -1.81978429702991e-09, 3.74631757610341e-09, -9.39972829558986e-05, 
202, 19, -4.62954631594144e-07, -0.0493825285416717, -4.62954631597688e-07, 2.2863866722124e-06, 0.0493825285416717, -9.30946123361635e-07, 3.90874009136028e-06, -0.00875953742336144, -4.68891879408986e-07, -0.0493971749600576, -4.68891879411606e-07, 2.27976481727785e-06, 0.0493971749600576, -9.29134439208549e-07, 3.90504796528842e-06, -0.00866551611933251, 5.93724779217454e-09, 1.46464183859334e-05, 5.93724779217502e-09, 6.62185493114309e-09, -1.46464183859334e-05, -1.81168439702821e-09, 3.69212608958221e-09, -9.40213040289245e-05, 
203, 0, -5.83553775425095e-07, -0.0493838816913989, -5.83553775428582e-07, 2.26046327471779e-06, 0.0493838816913989, -1.13476157182079e-06, 3.85434230212264e-06, -0.00875973045329766, -5.89151723677989e-07, -0.0493985292990155, -5.8915172368072e-07, 2.25355198656375e-06, 0.0493985292990155, -1.1327601557387e-06, 3.85075105565827e-06, -0.00866570782074941, 5.59794830866169e-09, 1.46476076165463e-05, 5.59794830866158e-09, 6.9112881568875e-09, -1.46476076165463e-05, -2.00141609635105e-09, 3.5912464501763e-09, -9.40226325482499e-05, 
