physical_step, pseudo_step, CL, CD, CFx, CFy, CFz, CMx, CMy, CMz, CLPressure, CDPressure, CFxPressure, CFyPressure, CFzPressure, CMxPressure, CMyPressure, CMzPressure, CLSkinFriction, CDSkinFriction, CFxSkinFriction, CFySkinFriction, CFzSkinFriction, CMxSkinFriction, CMySkinFriction, CMzSkinFriction, 
8040, 0, -4.57670671452401e-06, -0.0544097861175158, -4.57670671452751e-06, 5.64985198462471e-06, 0.0544097861175158, -5.46455214508003e-05, -0.000221829254150723, -0.00808302294026702, -4.55066228200643e-06, -0.0544335581809309, -4.55066228200969e-06, 5.56517145745252e-06, 0.0544335581809309, -5.46346982236934e-05, -0.000221701398682952, -0.00796391645336495, -2.60444325187328e-08, 2.37720634151081e-05, -2.60444325187333e-08, 8.46805271429549e-08, -2.37720634151081e-05, -1.08232271153299e-08, -1.27855467866233e-07, -0.000119106486902098, 
8040, 10, -7.13243696106177e-06, -0.0584204306359157, -7.13243696106569e-06, 1.15102666276972e-06, 0.0584204306359157, -5.30050513935951e-05, -0.000215629232365627, -0.00893605854550157, -7.12344703439751e-06, -0.0584411952513105, -7.12344703440056e-06, 1.05654169815678e-06, 0.0584411952513105, -5.29968424802526e-05, -0.000215494706232616, -0.0088242265680075, -8.9899266855991e-09, 2.07646153948144e-05, -8.98992668560249e-09, 9.44849646332591e-08, -2.07646153948144e-05, -8.20891336952989e-09, -1.34526133034223e-07, -0.000111831977494032, 
8040, 11, -7.12973651655655e-06, -0.0584618993216081, -7.12973651656006e-06, 1.2193962172461e-06, 0.0584618993216081, -5.27480264227919e-05, -0.000215251241229247, -0.00894458278653785, -7.12291672675812e-06, -0.0584825733104679, -7.12291672676159e-06, 1.12218373382848e-06, 0.0584825733104679, -5.27395652419187e-05, -0.000215122565336733, -0.0088331126584656, -6.81978979447134e-09, 2.06739888601343e-05, -6.81978979447854e-09, 9.72124833996704e-08, -2.06739888601343e-05, -8.46118084723771e-09, -1.28675892469215e-07, -0.000111470128072212, 
8041, 0, -7.31603780522022e-06, -0.0579976764084242, -7.31603780522415e-06, 9.88546841302057e-07, 0.0579976764084242, -5.19374072943433e-05, -0.000215002518674173, -0.00882167255279155, -7.31037706704324e-06, -0.0580182804952677, -7.31037706704802e-06, 8.88219857434246e-07, 0.0580182804952677, -5.19296221592634e-05, -0.000214879767717512, -0.00871050762465458, -5.66073817590916e-09, 2.0604086843693e-05, -5.66073817590577e-09, 1.00326983906694e-07, -2.0604086843693e-05, -7.7851351278994e-09, -1.22750956620481e-07, -0.000111164928136962, 
8041, 10, -9.55070420575401e-06, -0.0584634797775751, -9.55070420575838e-06, -1.03654287993634e-06, 0.0584634797775751, -5.0312266438114e-05, -0.000199402628858835, -0.00883451313983789, -9.55270242175843e-06, -0.0584820292354811, -9.55270242176283e-06, -1.14180724386827e-06, 0.0584820292354811, -5.03104014191607e-05, -0.000199295663231804, -0.00872892223004833, 1.99821601316883e-09, 1.85494579056932e-05, 1.99821601316862e-09, 1.05264363874354e-07, -1.85494579056932e-05, -1.86501894063079e-09, -1.06965626984544e-07, -0.000105590909789569, 
8041, 11, -9.54396085509445e-06, -0.0584678355946066, -9.54396085509881e-06, -1.00138676224629e-06, 0.0584678355946066, -5.03101109562994e-05, -0.000199296631973213, -0.00883503892842095, -9.54745532351498e-06, -0.0584863142435442, -9.54745532351847e-06, -1.10989366068405e-06, 0.0584863142435442, -5.03083624406252e-05, -0.000199195475454347, -0.00872970210692779, 3.49446841052245e-09, 1.84786489375643e-05, 3.49446841052266e-09, 1.08506898383939e-07, -1.84786489375643e-05, -1.7485156273293e-09, -1.01156518804557e-07, -0.000105336821493166, 
8042, 0, -9.83660331512554e-06, -0.0584088604751192, -9.83660331512947e-06, -1.04843761088449e-06, 0.0584088604751192, -4.95631107913839e-05, -0.000198144516840233, -0.00881445316423824, -9.84183108037278e-06, -0.0584272872590899, -9.84183108037672e-06, -1.1596792046004e-06, 0.0584272872590899, -4.95618603530886e-05, -0.000198047221844159, -0.00870930828558053, 5.22776524285521e-09, 1.84267839706986e-05, 5.22776524286156e-09, 1.11241593713645e-07, -1.84267839706986e-05, -1.25043832564522e-09, -9.72949960086625e-08, -0.000105144878657684, 
8042, 10, -1.24817648844188e-05, -0.0584337531945246, -1.24817648844232e-05, -1.66378736612857e-06, 0.0584337531945246, -4.94518186692704e-05, -0.000178297954593645, -0.00875547559153457, -1.24999016598992e-05, -0.0584509669857601, -1.24999016599036e-05, -1.7736635749289e-06, 0.0584509669857601, -4.9456095648516e-05, -0.000178216519541971, -0.00865349562529377, 1.81367754434683e-08, 1.72137912354634e-05, 1.81367754434647e-08, 1.09876208773082e-07, -1.72137912354634e-05, 4.27697919849009e-09, -8.14350518538684e-08, -0.000101979966240777, 
8042, 11, -1.24795190083442e-05, -0.0584337040434595, -1.2479519008349e-05, -1.66263891111813e-06, 0.0584337040434595, -4.94631266513118e-05, -0.000178230034099497, -0.00875514674310502, -1.24993561146566e-05, -0.0584508856481171, -1.24993561146606e-05, -1.77383765377436e-06, 0.0584508856481171, -4.94682435617214e-05, -0.000178151492691486, -0.00865327140851623, 1.98371062904539e-08, 1.71816046574867e-05, 1.98371062904539e-08, 1.11198742645896e-07, -1.71816046574867e-05, 5.11691039387367e-09, -7.85414080533244e-08, -0.000101875334588825, 
8043, 0, -1.28482533666897e-05, -0.0584616516196138, -1.28482533666937e-05, -1.50267932605877e-06, 0.0584616516196138, -4.8716591746893e-05, -0.000175970984368019, -0.00875572524896483, -1.28679046257323e-05, -0.0584788112051535, -1.28679046257362e-05, -1.61594877677208e-06, 0.0584788112051535, -4.87222779235499e-05, -0.000175894390446921, -0.00865391861872359, 1.9651259036569e-08, 1.71595855398478e-05, 1.9651259036576e-08, 1.13269450683376e-07, -1.71595855398478e-05, 5.68617661837723e-09, -7.65939210573973e-08, -0.000101806630241279, 
