physical_step, pseudo_step, CL, CD, CFx, CFy, CFz, CMx, CMy, CMz, CLPressure, CDPressure, CFxPressure, CFyPressure, CFzPressure, CMxPressure, CMyPressure, CMzPressure, CLSkinFriction, CDSkinFriction, CFxSkinFriction, CFySkinFriction, CFzSkinFriction, CMxSkinFriction, CMySkinFriction, CMzSkinFriction, 
9960, 0, -1.25590105552062e-06, -0.0528259227815721, -1.2559010555239e-06, 1.06690135277577e-05, 0.0528259227815721, 5.12182242561581e-05, 4.50312108388559e-06, -0.00731981016328875, -1.07438537541012e-06, -0.0528381647985465, -1.07438537541295e-06, 1.05502202288345e-05, 0.0528381647985465, 5.11991168754755e-05, 4.47891628679134e-06, -0.00723044653038295, -1.81515680127342e-07, 1.22420169744409e-05, -1.81515680127346e-07, 1.18793298882177e-07, -1.22420169744409e-05, 1.91073806751073e-08, 2.42047971774447e-08, -8.93636329058161e-05, 
9960, 10, -1.98407556040536e-06, -0.0522247966515346, -1.98407556040885e-06, 9.83232370124913e-06, 0.0522247966515346, 4.95807856837513e-05, 3.46898323823867e-06, -0.00720041525449007, -1.79783682718224e-06, -0.0522374491273486, -1.7978368271853e-06, 9.70792328063492e-06, 0.0522374491273486, 4.95671574700463e-05, 3.44654798093266e-06, -0.00711005863513456, -1.8623873322501e-07, 1.26524758141099e-05, -1.86238733225007e-07, 1.24400420595671e-07, -1.26524758141099e-05, 1.36282136949392e-08, 2.24352573559787e-08, -9.03566193555047e-05, 
9960, 11, -1.94114551107422e-06, -0.0522173852036988, -1.94114551107749e-06, 9.78597886979069e-06, 0.0522173852036988, 4.95927116937495e-05, 3.35100606349784e-06, -0.00719889772244054, -1.75298268180132e-06, -0.0522300650240232, -1.75298268180459e-06, 9.66190406735943e-06, 0.0522300650240232, 4.957957443767e-05, 3.32891686038176e-06, -0.00710845190640066, -1.88162829273744e-07, 1.26798203244022e-05, -1.88162829273747e-07, 1.24074802413256e-07, -1.26798203244022e-05, 1.31372561064155e-08, 2.20892030314372e-08, -9.04458160398635e-05, 
9961, 0, -2.00529559237538e-06, -0.0522902711753548, -2.00529559237843e-06, 9.67602044203044e-06, 0.0522902711753548, 4.96281120046997e-05, 3.28032579959504e-06, -0.00721946890129644, -1.81436278947019e-06, -0.0523029723213843, -1.81436278947347e-06, 9.55228951407667e-06, 0.0523029723213843, 4.96152147473763e-05, 3.25861178081876e-06, -0.00712895311434285, -1.90932802928541e-07, 1.27011460296494e-05, -1.90932802928538e-07, 1.23730927957469e-07, -1.27011460296494e-05, 1.28972573021608e-08, 2.17140187969916e-08, -9.05157869535968e-05, 
9961, 10, -2.37678664637823e-06, -0.0522083657210475, -2.37678664638173e-06, 8.67428020230627e-06, 0.0522083657210475, 4.90315214435696e-05, 2.09510190622965e-06, -0.00721785816552184, -2.16506418426928e-06, -0.0522213421123217, -2.16506418427277e-06, 8.5571124627799e-06, 0.0522213421123217, 4.90203553707722e-05, 2.07585071366786e-06, -0.00712657549143575, -2.1172246211703e-07, 1.29763912741241e-05, -2.11722462117037e-07, 1.17167739520488e-07, -1.29763912741241e-05, 1.11660727115318e-08, 1.92511926094933e-08, -9.12826740860777e-05, 
9961, 11, -2.35750386342809e-06, -0.052207820866835, -2.35750386343137e-06, 8.68565792145216e-06, 0.052207820866835, 4.90583133631723e-05, 2.17528217089494e-06, -0.00721774022929151, -2.14501841564299e-06, -0.0522208024639083, -2.14501841564583e-06, 8.56826281149691e-06, 0.0522208024639083, 4.90467371540327e-05, 2.15659285886403e-06, -0.00712644274540608, -2.12485447815011e-07, 1.29815970732927e-05, -2.12485447815018e-07, 1.17395109945186e-07, -1.29815970732927e-05, 1.15762090812743e-08, 1.86893119739538e-08, -9.12974838854367e-05, 
9962, 0, -2.34479132755558e-06, -0.0522125313915774, -2.34479132755886e-06, 8.56058142158918e-06, 0.0522125313915774, 4.91995511748011e-05, 2.0906538870564e-06, -0.00722069446066304, -2.12908213259522e-06, -0.0522255161303036, -2.12908213259827e-06, 8.44486640496616e-06, 0.0522255161303036, 4.91880291069519e-05, 2.07248755739352e-06, -0.00712938916901002, -2.15709194960846e-07, 1.2984738726109e-05, -2.15709194960846e-07, 1.15715016641057e-07, -1.2984738726109e-05, 1.15220679025352e-08, 1.81663297105278e-08, -9.1305291653024e-05, 
9962, 10, -2.20124951390148e-06, -0.0521983909036554, -2.20124951390431e-06, 7.74872995393531e-06, 0.0521983909036554, 4.90179750002965e-05, 2.00048895625318e-06, -0.00722998077112551, -1.96969894017106e-06, -0.0522115349260843, -1.9696989401739e-06, 7.63236416621205e-06, 0.0522115349260843, 4.90007390547871e-05, 1.98406232370663e-06, -0.00713828012183144, -2.31550573697878e-07, 1.31440224292404e-05, -2.31550573697878e-07, 1.16365787717478e-07, -1.31440224292404e-05, 1.72359455185318e-08, 1.64266325011405e-08, -9.17006492940753e-05, 
9962, 11, -2.20744769517029e-06, -0.0521983323329331, -2.20744769517378e-06, 7.7439729870913e-06, 0.0521983323329331, 4.89782466012633e-05, 1.99983470931661e-06, -0.00722996165800513, -1.97667020047599e-06, -0.0522114768053275, -1.97667020047882e-06, 7.62951299195935e-06, 0.0522114768053275, 4.89594089593487e-05, 1.98312701868674e-06, -0.0071382610811311, -2.30777494699363e-07, 1.31444723944862e-05, -2.30777494699367e-07, 1.14459995157813e-07, -1.31444723944862e-05, 1.88376418871706e-08, 1.67076905667085e-08, -9.17005768740373e-05, 
9963, 0, -2.21131255236691e-06, -0.0521953155554476, -2.21131255236975e-06, 7.70366868837365e-06, 0.0521953155554475, 4.90002919541292e-05, 2.10595059160796e-06, -0.00722975858027464, -1.98352315088163e-06, -0.0522084611200992, -1.98352315088447e-06, 7.59072205766409e-06, 0.0522084611200992, 4.89790304756274e-05, 2.0885754676144e-06, -0.00713805856444256, -2.27789401508691e-07, 1.31455646517981e-05, -2.2778940150869e-07, 1.1294663065507e-07, -1.31455646517981e-05, 2.12614784670599e-08, 1.73751239988314e-08, -9.17000158321003e-05, 
