physical_step, pseudo_step, CL, CD, CFx, CFy, CFz, CMx, CMy, CMz, CLPressure, CDPressure, CFxPressure, CFyPressure, CFzPressure, CMxPressure, CMyPressure, CMzPressure, CLSkinFriction, CDSkinFriction, CFxSkinFriction, CFySkinFriction, CFzSkinFriction, CMxSkinFriction, CMySkinFriction, CMzSkinFriction, 
11880, 0, -1.19047671134846e-05, -0.0526921027310508, -1.19047671134877e-05, -1.04066058238257e-05, 0.0526921027310508, -1.14189914163419e-05, 5.09635369525317e-06, -0.00728656616021686, -1.18201290658225e-05, -0.0527040369155166, -1.1820129065826e-05, -1.05018121056719e-05, 0.0527040369155166, -1.1415012012287e-05, 5.0773180248046e-06, -0.00719795532219598, -8.46380476635331e-08, 1.19341844657182e-05, -8.46380476635331e-08, 9.52062818428286e-08, -1.19341844657182e-05, -3.97940406509209e-09, 1.90356704586225e-08, -8.86108380208726e-05, 
11880, 10, -1.35994111902589e-05, -0.0518733028689936, -1.35994111902624e-05, -1.09463194782157e-05, 0.0518733028689936, -1.28927410095147e-05, 5.51569376695621e-06, -0.0071230964825245, -1.35019973711385e-05, -0.0518858156921044, -1.35019973711415e-05, -1.10417791786569e-05, 0.0518858156921044, -1.28876004939194e-05, 5.49824754613609e-06, -0.00703304682769251, -9.7413819141212e-08, 1.25128231108452e-05, -9.74138191412154e-08, 9.54597004382932e-08, -1.25128231108452e-05, -5.14051560315227e-09, 1.74462208158461e-08, -9.00496548319872e-05, 
11880, 11, -1.35915545942128e-05, -0.0518645924480359, -1.35915545942156e-05, -1.09350081617171e-05, 0.0518645924480359, -1.28034993210515e-05, 5.72865999566504e-06, -0.0071213234804435, -1.34947722167666e-05, -0.0518771377605126, -1.34947722167701e-05, -1.10277136588271e-05, 0.0518771377605126, -1.27996738650217e-05, 5.71124917769771e-06, -0.00703115671846521, -9.67823774545698e-08, 1.25453124766351e-05, -9.67823774545698e-08, 9.27054971355883e-08, -1.25453124766351e-05, -3.82545602208491e-09, 1.74108180214302e-08, -9.01667619782946e-05, 
11881, 0, -1.37776609330421e-05, -0.0519693678302924, -1.37776609330454e-05, -1.09348354518876e-05, 0.0519693678302924, -1.29087156906533e-05, 5.87340763395118e-06, -0.00715054912622208, -1.3680304170963e-05, -0.0519819353624512, -1.36803041709661e-05, -1.10272989573618e-05, 0.0519819353624512, -1.29061782845025e-05, 5.85582649332578e-06, -0.00706029298051489, -9.73567620788852e-08, 1.25675321587021e-05, -9.73567620788818e-08, 9.24635054577761e-08, -1.25675321587021e-05, -2.53740617962431e-09, 1.75811406208225e-08, -9.02561457071809e-05, 
11881, 10, -1.51189523765093e-05, -0.0518611858336908, -1.51189523765121e-05, -1.12047766161784e-05, 0.0518611858336908, -1.36972035598241e-05, 7.4822639467537e-06, -0.00714709834055879, -1.50142086922093e-05, -0.051874125058133, -1.50142086922124e-05, -1.12993348672881e-05, 0.051874125058133, -1.36973394537701e-05, 7.46355459098721e-06, -0.00705580642510575, -1.04743684299063e-07, 1.29392244422456e-05, -1.0474368429906e-07, 9.45582511141848e-08, -1.29392244422456e-05, 1.35893943138309e-10, 1.87093557563717e-08, -9.12919154530443e-05, 
11881, 11, -1.5115004474747e-05, -0.0518604830748536, -1.51150044747511e-05, -1.12222896526246e-05, 0.0518604830748536, -1.37139023327923e-05, 7.44461133578651e-06, -0.00714693835578241, -1.50125751058403e-05, -0.0518734273642312, -1.5012575105844e-05, -1.13156934945051e-05, 0.0518734273642312, -1.37155856586214e-05, 7.42555215162044e-06, -0.00705562461065565, -1.02429368912231e-07, 1.29442893776478e-05, -1.02429368912224e-07, 9.34038419043003e-08, -1.29442893776478e-05, 1.68332580033713e-09, 1.90591842399102e-08, -9.13137451267424e-05, 
11882, 0, -1.51371932743445e-05, -0.0518547304788754, -1.5137193274348e-05, -1.1251557570994e-05, 0.0518547304788754, -1.37785988882447e-05, 7.4974041404617e-06, -0.00714608056586302, -1.5032067244111e-05, -0.051867679848774, -1.50320672441147e-05, -1.13440604097258e-05, 0.051867679848774, -1.37804991273024e-05, 7.47823731550777e-06, -0.00705475267300994, -1.05126030228464e-07, 1.29493698985922e-05, -1.0512603022846e-07, 9.25028387304327e-08, -1.29493698985922e-05, 1.90023909959714e-09, 1.91668249231248e-08, -9.13278928531036e-05, 
11882, 10, -1.64358704525957e-05, -0.051858912155443, -1.6435870452599e-05, -1.09104201824743e-05, 0.051858912155443, -1.46631422503449e-05, 9.75702270890849e-06, -0.00716335356538119, -1.63265935166743e-05, -0.0518720051898314, -1.63265935166778e-05, -1.1009861331517e-05, 0.0518720051898314, -1.46684394094007e-05, 9.73780329647339e-06, -0.00707163657931546, -1.09276935940964e-07, 1.30930343884103e-05, -1.09276935940967e-07, 9.94411490316297e-08, -1.30930343884103e-05, 5.29715905514543e-09, 1.92194124946705e-08, -9.17169860657383e-05, 
11882, 11, -1.64471540452322e-05, -0.0518581852112077, -1.64471540452355e-05, -1.09122763322884e-05, 0.0518581852112077, -1.46645831213937e-05, 9.75280841711445e-06, -0.00716345519376628, -1.63372356968968e-05, -0.0518712881483812, -1.63372356969003e-05, -1.10123452210158e-05, 0.0518712881483812, -1.46701203755007e-05, 9.73354789842218e-06, -0.00707170715770275, -1.09918348333727e-07, 1.31029371735205e-05, -1.09918348333723e-07, 1.00068888729897e-07, -1.31029371735205e-05, 5.53725408619232e-09, 1.92605187534077e-08, -9.17480360635219e-05, 
11883, 0, -1.64886353470022e-05, -0.0518538333996663, -1.64886353470057e-05, -1.09267578597803e-05, 0.0518538333996663, -1.47618644984061e-05, 9.85346486705736e-06, -0.00716311146610112, -1.63775767727327e-05, -0.051866946686459, -1.6377576772736e-05, -1.10270621688248e-05, 0.051866946686459, -1.47675291354822e-05, 9.83404687284116e-06, -0.00707133710709997, -1.11058574256879e-07, 1.31132867927404e-05, -1.11058574256876e-07, 1.0030430906919e-07, -1.31132867927404e-05, 5.6646370642575e-09, 1.94179942360519e-08, -9.17743590011385e-05, 
