physical_step, pseudo_step, CL, CD, CFx, CFy, CFz, CMx, CMy, CMz, CLPressure, CDPressure, CFxPressure, CFyPressure, CFzPressure, CMxPressure, CMyPressure, CMzPressure, CLSkinFriction, CDSkinFriction, CFxSkinFriction, CFySkinFriction, CFzSkinFriction, CMxSkinFriction, CMySkinFriction, CMzSkinFriction, 
13800, 0, 1.68706759752579e-05, -0.0525187764671793, 1.68706759752551e-05, -4.0641045592156e-06, 0.0525187764671793, 4.8645517027297e-05, 2.25848003809434e-06, -0.00738822294827278, 1.69422713231224e-05, -0.0525322728706835, 1.69422713231187e-05, -4.13339971013938e-06, 0.0525322728706835, 4.86289641366482e-05, 2.25133309151559e-06, -0.00729537369947125, -7.1595347867015e-08, 1.34964035042907e-05, -7.15953478670151e-08, 6.92951509074558e-08, -1.34964035042907e-05, 1.6552890569784e-08, 7.14694664923631e-09, -9.28492488015198e-05, 
13800, 7, 1.64267603548834e-05, -0.052515948762133, 1.64267603548805e-05, -3.8087028754006e-06, 0.052515948762133, 4.84668677253971e-05, 2.70264560589277e-06, -0.00738812577257479, 1.64965860998053e-05, -0.0525294484785897, 1.64965860998022e-05, -3.88149509886803e-06, 0.0525294484785897, 4.84567079587317e-05, 2.69621777495972e-06, -0.00729526258775592, -6.98257449002992e-08, 1.34997164570536e-05, -6.98257449002994e-08, 7.27922235014443e-08, -1.34997164570536e-05, 1.01597665948822e-08, 6.42783091565049e-09, -9.2863184818841e-05, 
13801, 0, 1.62413813049837e-05, -0.0525157171294949, 1.62413813049808e-05, -3.67675108490408e-06, 0.0525157171294949, 4.84009152613469e-05, 2.92924419932088e-06, -0.00738822495343918, 1.6311306503698e-05, -0.0525292150154982, 1.63113065036949e-05, -3.74845142965093e-06, 0.0525292150154982, 4.83907563552428e-05, 2.92273849260907e-06, -0.00729536599334705, -6.99251987521866e-08, 1.34978860034355e-05, -6.99251987521833e-08, 7.17003447610349e-08, -1.34978860034355e-05, 1.01589060547142e-08, 6.50570661593808e-09, -9.2858960092132e-05, 
13801, 7, 1.59783818086855e-05, -0.0525143487032963, 1.59783818086824e-05, -3.38198656356904e-06, 0.0525143487032963, 4.8535584365855e-05, 3.28357883295943e-06, -0.00738878424343173, 1.60526219751092e-05, -0.052527846521607, 1.60526219751057e-05, -3.45102592633362e-06, 0.052527846521607, 4.85284077719806e-05, 3.27689372939498e-06, -0.00729592544880764, -7.42401664022583e-08, 1.34978183105192e-05, -7.42401664022581e-08, 6.90393627654099e-08, -1.34978183105192e-05, 7.17659390686386e-09, 6.68510355736449e-09, -9.2858794624097e-05, 
13802, 0, 1.57601051374802e-05, -0.0525132277490415, 1.57601051374767e-05, -3.19428427542993e-06, 0.0525132277490415, 4.8419559073303e-05, 3.53394589233579e-06, -0.00738863271227933, 1.58332035376221e-05, -0.0525267237833148, 1.58332035376188e-05, -3.26404771130181e-06, 0.0525267237833148, 4.84118418379675e-05, 3.52716382078817e-06, -0.00729577873878801, -7.30984001499222e-08, 1.34960342730579e-05, -7.30984001499258e-08, 6.97634358409058e-08, -1.34960342730579e-05, 7.71723524371251e-09, 6.78207166536235e-09, -9.28539734912988e-05, 
13802, 7, 1.56156381765307e-05, -0.0525106595211926, 1.56156381765272e-05, -2.79377499989913e-06, 0.0525106595211926, 4.86645130081295e-05, 3.93781466853787e-06, -0.00738880692654315, 1.5686122111461e-05, -0.0525241558624457, 1.56861221114578e-05, -2.86530368532585e-06, 0.0525241558624457, 4.86563601177583e-05, 3.93003540119997e-06, -0.00729594332313472, -7.04839349102525e-08, 1.3496341252998e-05, -7.04839349102525e-08, 7.15286854311048e-08, -1.3496341252998e-05, 8.15289037997474e-09, 7.77926740891779e-09, -9.28636034084291e-05, 
13803, 0, 1.54231770724527e-05, -0.0525085203245259, 1.54231770724503e-05, -2.56957370054762e-06, 0.0525085203245259, 4.85235846142503e-05, 4.20863020800379e-06, -0.00738836872501627, 1.54910968604101e-05, -0.0525220134866537, 1.54910968604075e-05, -2.6402519959434e-06, 0.0525220134866537, 4.85140103405019e-05, 4.20046834102844e-06, -0.00729550698820486, -6.79197879305415e-08, 1.34931621279741e-05, -6.79197879305345e-08, 7.06782953789511e-08, -1.34931621279741e-05, 9.57427379164807e-09, 8.16186703251405e-09, -9.2861736811408e-05, 
13803, 7, 1.53120927490012e-05, -0.0525053629383242, 1.53120927489977e-05, -2.07881484537512e-06, 0.0525053629383242, 4.87688475779826e-05, 4.69081544404744e-06, -0.00738813113633594, 1.53708621600197e-05, -0.0525188605124627, 1.53708621600162e-05, -2.15575236112354e-06, 0.0525188605124627, 4.87607839163723e-05, 4.6808740509973e-06, -0.00729526497205015, -5.87694110184835e-08, 1.34975741386623e-05, -5.87694110184867e-08, 7.69375157360732e-08, -1.34975741386623e-05, 8.063661610749e-09, 9.94139300185947e-09, -9.28661642857862e-05, 
13804, 0, 1.5167054020025e-05, -0.0525027233735963, 1.51670540200215e-05, -1.85148621716422e-06, 0.0525027233735963, 4.86396158557274e-05, 4.96657522683565e-06, -0.00738756813826026, 1.52235493060882e-05, -0.0525162188466822, 1.52235493060847e-05, -1.92809806270494e-06, 0.0525162188466822, 4.86305151883424e-05, 4.95632889101532e-06, -0.00729470381669234, -5.64952860662767e-08, 1.34954730861928e-05, -5.64952860662732e-08, 7.66118455344089e-08, -1.34954730861928e-05, 9.10066735043885e-09, 1.02463358650657e-08, -9.28643215679354e-05, 
13804, 7, 1.49549325494981e-05, -0.0524999472894747, 1.49549325494948e-05, -1.38151507915693e-06, 0.0524999472894747, 4.88495684864807e-05, 5.43231737881326e-06, -0.00738715878441534, 1.50112626889184e-05, -0.0525134540693291, 1.5011262688915e-05, -1.46047423061087e-06, 0.0525134540693291, 4.88439049161871e-05, 5.4211257891295e-06, -0.00729428391871854, -5.63301394377063e-08, 1.35067798545217e-05, -5.63301394377097e-08, 7.89591514236104e-08, -1.35067798545217e-05, 5.66357024697518e-09, 1.11915898026496e-08, -9.28748656967911e-05, 
