Nr	X	Y	Z
Punkt.62	734.21602573943	-2.130993730641E-15	-11.41346267525
Punkt.63	704.88616822	3336.955025359	86.655896041423
Punkt.64	691.7801441	6053.055622733	333.69668985309
Punkt.65	737.1431416	7754.133034243	585.3562429076
Punkt.66	739.93083882446	7765.389837607	588.4332693685
Punkt.67	878.82246836523	8503.638419215	800.84160083799
Punkt.68	943.5769812	8847.821840866	899.86912865196
Punkt.69	950.456362639566	8880.57982190401	911.550260933448
Punkt.70	959.811190368054	8911.72385205206	931.966368600431
Punkt.71	968.19949730037	8932.866111751	952.74178486201
Punkt.72	978.56528116281	8952.659683519	978.55648922165
Punkt.73	990.99621460787	8967.004777787	1006.55412799807
Punkt.74	1003.97413607841	8974.661334255	1032.655250187
Punkt.75	1013.689386234	8978.366515696	1050.633715172
Punkt.76	1025.074913014	8981.46253902	1070.532973391
Punkt.77	1044.675989765	8985.066518554	1102.98411625
Punkt.78	1064.843856865	8987.621689847	1135.085873441
Punkt.79	1084.307725701	8989.55994272	1165.427703331
Punkt.80	1116.730908173	8992.262964659	1215.582414003
Punkt.81	1145.192180826	8994.372855327	1259.680987963
Punkt.82	1169.527535673	8996.04288554	1297.708595568
Punkt.83	1189.636034386	8997.301029177	1329.647884078
Punkt.84	1204.377386707	8998.099112765	1353.606307218
Punkt.85	1215.514442777	8998.545942332	1372.400843904
