Nr	X	Y	Z
Punkt.16	736.00265	0	-3.565
Punkt.17	706.62	3336.514	94.174
Punkt.18	693.244	6052.359	339.695
Punkt.19	738.354	7753.176	589.903
Punkt.20	740.941	7764.136	592.936
Punkt.37	944.21547325	8847.126275756	902.36632143445
Punkt.53	955.292928936975	8892.90011762558	922.833351587072
Punkt.38	968.89927704166	8930.998922408	954.4998059271
Punkt.39	979.24916870805	8950.595315988	979.88616423773
Punkt.40	991.68331428868	8964.790838493	1007.4996381325
Punkt.41	1004.59841473631	8972.531501091	1033.278423652
Punkt.42	1014.276563408	8976.308486969	1051.103111577
Punkt.43	1025.626359543	8979.485623663	1070.886689497
Punkt.44	1045.184340355	8983.211020543	1103.22108004
Punkt.45	1065.311563214	8985.875595518	1135.257168954
Punkt.46	1084.735942864	8987.91183086	1165.564137899
Punkt.47	1117.101944955	8990.782875212	1215.684931925
Punkt.48	1145.511912008	8993.057542654	1259.763261118
Punkt.49	1169.796386363	8994.892580132	1297.776073539
Punkt.50	1189.860664459	8996.319462995	1329.702629104
Punkt.51	1204.561070268	8997.275263137	1353.650079363
Punkt.52	1215.656020302	8997.884263385	1372.433381683
