Nr	X	Y	Z
Punkt.38	737.7501383883	1.899991473695E-16	26.491227552594
Punkt.39	708.3694943	3334.825611538	122.97429748504
Punkt.40	694.917977	6049.683997376	362.72020329567
Punkt.41	739.959344	7749.493391697	607.40784127472
Punkt.42	741.7793605034	7759.342334599	610.14628889463
Punkt.43	880.36002894523	8499.418993484	815.99001667636
Punkt.44	944.970551	8844.454742951	911.95756220078
Punkt.45	952.153673598042	8877.14558499362	923.595717338257
Punkt.46	961.199398703209	8904.29385199807	941.442027055631
Punkt.47	969.77727536091	8924.479912478	960.63767128519
Punkt.48	980.13262351063	8943.41391981	984.51175679214
Punkt.49	992.60445655984	8957.096184626	1010.785804664
Punkt.50	1005.4065272418	8965.205206606	1035.422043346
Punkt.51	1015.016676784	8969.278042221	1052.706619557
Punkt.52	1026.300375284	8972.781805515	1072.086158379
Punkt.53	1045.788237742	8976.986314712	1104.016030978
Punkt.54	1065.840631649	8980.081894715	1135.825543146
Punkt.55	1085.184300266	8982.505073805	1166.011721937
Punkt.56	1117.447860754	8986.032214044	1216.013984951
Punkt.57	1145.772802807	8988.946841266	1260.020386575
Punkt.58	1169.972618847	8991.422170019	1297.979650982
Punkt.59	1189.978296531	8993.49888379	1329.859941654
Punkt.60	1204.62494726	8995.061786241	1353.767684114
Punkt.61	1215.664465748	8996.295072954	1372.511529443
