Nr	X	Y	Z
Punkt.16	734.21602573943	-2.130993730641E-15	-11.41346267525
Punkt.17	704.88616822	3336.955025359	86.655896041423
Punkt.18	691.7801441	6053.055622733	333.69668985309
Punkt.19	737.1431416	7754.133034243	585.3562429076
Punkt.20	739.93083882446	7765.389837607	588.4332693685
Punkt.21	878.82246836523	8503.638419215	800.84160083799
Punkt.22	943.5769812	8847.821840866	899.86912865196
Punkt.23	945.277003941	8845.89555435406	912.375061121141
Punkt.24	950.199442516185	8863.01931676264	920.546774458164
Punkt.25	954.622732826821	8871.49309542756	927.691299592868
Punkt.26	964.273840887034	8882.02799372482	941.517267183534
Punkt.27	979.497943869433	8891.09651015861	961.237899868984
Punkt.28	989.469740780714	8895.21809990226	974.494331858634
Punkt.29	1267.00760172233	8997.48148009593	1357.40883311178
