Nr	X	Y	Z
Punkt.16	736.00265	0	-3.565
Punkt.17	706.62	3336.514	94.174
Punkt.18	693.244	6052.359	339.695
Punkt.19	738.354	7753.176	589.903
Punkt.20	740.941	7764.136	592.936
Punkt.22	944.216	8847.126	902.366
Punkt.23	945.277003941	8845.89555435406	912.375061121141
Punkt.24	950.199442516185	8863.01931676264	920.546774458164
Punkt.25	954.622732826821	8871.49309542756	927.691299592868
Punkt.26	964.273840887034	8882.02799372482	941.517267183534
Punkt.27	979.497943869433	8891.09651015861	961.237899868984
Punkt.28	989.469740780714	8895.21809990226	974.494331858634
Punkt.29	1267.00760172233	8997.48148009593	1357.40883311178
