Nr	X	Y	Z
Punkt.3	737.7501383883	1.899991473695E-16	26.491227552594
Punkt.4	708.3694943	3334.825611538	122.97429748504
Punkt.5	694.917977	6049.683997376	362.72020329567
Punkt.6	739.959344	7749.493391697	607.40784127472
Punkt.7	741.7793605034	7759.342334599	610.14628889463
Punkt.8	880.36002894523	8499.418993484	815.99001667636
Punkt.9	944.970551	8844.454742951	911.95756220078
Punkt.10	950.199442516185	8863.01931676264	920.546774458164
Punkt.11	954.622732826821	8871.49309542756	927.691299592868
Punkt.12	964.273840887034	8882.02799372482	941.517267183534
Punkt.13	979.497943869433	8891.09651015861	961.237899868984
Punkt.14	989.469740780714	8895.21809990226	974.494331858634
Punkt.15	1267.00760172233	8997.48148009593	1357.40883311178
