Nr	X	Y	Z
Punkt.22	908.531427250078	8916.18395791486	968.448589303811
Punkt.23	924.976454967002	8934.91835923242	989.983812751716
Punkt.24	943.129163636729	8949.02596020146	1014.23236663627
Punkt.25	960.169321296544	8957.64950945927	1037.63278456616
Punkt.26	972.218964396229	8962.12677945797	1054.33768378119
Punkt.27	985.815692980067	8966.07314016832	1073.28649453692
Punkt.28	1008.39864204284	8971.67677171083	1104.69410738949
Punkt.29	1031.07262028516	8975.27978865959	1136.29663981447
Punkt.30	1052.71860732092	8978.04854579962	1166.38064378463
Punkt.31	1088.82427807907	8982.18560506122	1216.28041909133
Punkt.32	1120.87731766454	8985.64190665612	1260.22711110692
Punkt.33	1148.80557503131	8988.59279960838	1298.14562444723
Punkt.34	1172.58056567642	8991.23042166239	1329.98646090322
Punkt.35	1190.74800857947	8993.31130482452	1353.86068934584
Punkt.36	1205.40746207125	8995.0780416201	1372.57137643824
