Nr	X	Y	Z
Punkt.13	678.85517244077	-4.75835777706852E-16	15.6173180214556
Punkt.14	651.819999999551	3335.43673191192	112.551281137785
Punkt.15	649.400000000203	6050.69309929918	354.03368562679
Punkt.16	704.800000000237	7750.95535079006	600.459345904412
Punkt.17	706.814480000435	7761.23815537843	603.33951367668
Punkt.18	855.895890519621	8500.86453874057	810.800277110934
Punkt.19	925.399999999129	8845.59040297924	907.880356508197	
Punkt.20	929.475729684607	8860.04580258583	912.3535584247438
Punkt.21	934.436190448730	8877.42622481094	919.6377180472482
Punkt.22	944.949472056338	8905.03649985729	938.4437346183113
